,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
27,Peshawar-III,NA-3,Muhammad Intikhab Khan,Pakistan Muslim League,5679,90895,2566,93241,257192,36.25 %
28,Peshawar-III,NA-3,Noor Alam  Khan,Pakistan Peoples Party Parliamentarians,27038,90895,2566,93241,257192,36.25 %
29,Peshawar-III,NA-3,Taimoor Khan,Independent,2071,90895,2566,93241,257192,36.25 %
30,Peshawar-IV,NA-4,Ameer Maqam,Pakistan Muslim League,18583,80806,1604,79728,260335,30.62 %
31,Peshawar-IV,NA-4,Arbab Muhammad Nawaz Khan,Independent,1000,80806,1604,79728,260335,30.62 %
32,Peshawar-IV,NA-4,Arbab Muhammad Zahir Khan,Awami National Party,31598,80806,1604,79728,260335,30.62 %
33,Peshawar-IV,NA-4,Khalid Ikram,Independent,362,80806,1604,79728,260335,30.62 %
34,Peshawar-IV,NA-4,Maulana Nisar Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,9452,80806,1604,79728,260335,30.62 %
35,Peshawar-IV,NA-4,Muhammad Azam Afridi,Pakistan Peoples Party Parliamentarians,18702,80806,1604,79728,260335,30.62 %
36,Peshawar-IV,NA-4,Niaz Ullah,Independent,129,80806,1604,79728,260335,30.62 %
37,Peshawar-IV,NA-4,Syed Kamal Badshah,Independent,980,80806,1604,79728,260335,30.62 %
38,Nowshera-I,NA-5,Astaghfir Ullah Advocate,Independent,642,94570,2701,97234,263153,37 %
39,Nowshera-I,NA-5,Eng:Muhammad Tariq Khattak,Pakistan Peoples Party Parliamentarians,31907,94570,2701,97234,263153,37 %
40,Nowshera-I,NA-5,Ishtiaq Ahmed Advocate,Pakistan Muslim League (N),4229,94570,2701,97234,263153,37 %
41,Nowshera-I,NA-5,Mian Yahya Shah Kaka Khel,Pakistan Muslim League,17397,94570,2701,97234,263153,37 %
42,Nowshera-I,NA-5,Mufti Muhammad Sajjad,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,9192,94570,2701,97234,263153,37 %
43,Nowshera-I,NA-5,Sajid,Independent,1631,94570,2701,97234,263153,37 %
44,Nowshera-I,NA-5,Tariq Hameed Khattak,Awami National Party,29572,94570,2701,97234,263153,37 %
45,Nowshera-II,NA-6,Masood Abbas Khattak,Awami National Party,36835,85144,3522,88635,238295,37.19 %
46,Nowshera-II,NA-6,Mian Muzaffar Shah,Pakistan Peoples Party Parliamentarians,20358,85144,3522,88635,238295,37.19 %
47,Charsadda-I,NA-7,Asfandiyar Wali Khan,Awami National Party,57234,87587,2212,88491,273747,32.32 %
48,Charsadda-I,NA-7,Kalim Akbar,Pakistan Muslim League (N),3588,87587,2212,88491,273747,32.32 %
49,Charsadda-I,NA-7,Naseer Mohammad Khan,Pakistan Peoples Party Parliamentarians,17883,87587,2212,88491,273747,32.32 %
50,Mardan-I,NA-9,Abid Khan,Independent,93,57054,1063,80816,262042,30.8 %
51,Mardan-I,NA-9,Asia Naz Awan,Independent,92,57054,1063,80816,262042,30.8 %
52,Mardan-I,NA-9,Himayat Ullah Mayar,Awami National Party,30770,57054,1063,80816,262042,30.8 %
53,Mardan-I,NA-9,Moulana Shuja ul Mulk,Jamiat Ulama-e-Islam (S),24621,57054,1063,80816,262042,30.8 %
54,Mardan-I,NA-9,Muhammad Nawab alias Chona,Independent,193,57054,1063,80816,262042,30.8 %
55,Mardan-I,NA-9,Muhammad Sarfraz Khan,Independent,519,57054,1063,80816,262042,30.8 %
56,Mardan-I,NA-9,Syed Umer alias Member,Independent,373,57054,1063,80816,262042,30.8 %
57,Mardan-I,NA-9,Yasir Ali,Independent,111,57054,1063,80816,262042,30.8 %
58,Mardan-I,NA-9,Zulqurnain,Independent,282,57054,1063,80816,262042,30.8 %
59,Mardan-II,NA-10,Atta Ullah,Independent,1898,93931,2928,96680,256037,37.76 %
60,Mardan-II,NA-10,Maulana Mohammad Qasim,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,29279,93931,2928,96680,256037,37.76 %
61,Mardan-II,NA-10,Mohammad Farooq Khan,Awami National Party,21115,93931,2928,96680,256037,37.76 %
62,Mardan-II,NA-10,Muhammad Shoaib Khan,Pakistan Muslim League (N),3782,93931,2928,96680,256037,37.76 %
63,Mardan-II,NA-10,Naseem Mhammad Khan,Pakistan Muslim League,6774,93931,2928,96680,256037,37.76 %
64,Mardan-II,NA-10,Nawabzada Abdul Qadir Khan,Pakistan Peoples Party Parliamentarians,23138,93931,2928,96680,256037,37.76 %
65,Mardan-II,NA-10,Tahir Iqbal,Awami Himayat Tehreek Pakistan,1732,93931,2928,96680,256037,37.76 %
66,Mardan-II,NA-10,Zair Ullah Khan,Muttahida Qaumi Movement Pakistan,201,93931,2928,96680,256037,37.76 %
67,Mardan-III,NA-11,Amresh Khan,Pakistan Muslim League,29,39941,495,40436,256479,15.77 %
68,Mardan-III,NA-11,Asif Nawaz,Pakistan Qaumi Party,37,39941,495,40436,256479,15.77 %
69,Mardan-III,NA-11,Bakhtiar Ali,Independent,186,39941,495,40436,256479,15.77 %
70,Mardan-III,NA-11,Khanzada Khan,Pakistan Peoples Party Parliamentarians,20896,39941,495,40436,256479,15.77 %
71,Mardan-III,NA-11,Maulana Taj-ul-Amin Jabal1,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,18155,39941,495,40436,256479,15.77 %
72,Mardan-III,NA-11,Muhammad Atiqur Rehman,Independent,19,39941,495,40436,256479,15.77 %
73,Mardan-III,NA-11,Muhammad Waqar,Independent,193,39941,495,40436,256479,15.77 %
74,Mardan-III,NA-11,Mumtaz Ali Khan,Independent,58,39941,495,40436,256479,15.77 %
75,Mardan-III,NA-11,Murad Ali Shah,Independent,153,39941,495,40436,256479,15.77 %
76,Mardan-III,NA-11,Shah Hassan,Independent,110,39941,495,40436,256479,15.77 %
77,Mardan-III,NA-11,Syed Naveed Ali Shah,Independent,105,39941,495,40436,256479,15.77 %
78,Swabi-I,NA-12,Asfandiyar Wali Khan,Awami National Party,49574,108846,3041,111398,283709,39.26 %
79,Swabi-I,NA-12,Engineer Usman Khan Tarkai,Independent,49872,108846,3041,111398,283709,39.26 %
80,Swabi-I,NA-12,Said Mukhtar Ahmed,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1462,108846,3041,111398,283709,39.26 %
81,Swabi-I,NA-12,Umar Farooq Khan Shawa,Pakistan Peoples Party Parliamentarians,7163,108846,3041,111398,283709,39.26 %
82,Swabi-II,NA-13,Ishaq Ahmed Advocate,Independent,949,102720,2685,105380,287549,36.65 %
83,Swabi-II,NA-13,Khalil Ahmed,Independent,9754,102720,2685,105380,287549,36.65 %
84,Swabi-II,NA-13,Liaqat Ahmed Khan,Pakistan Muslim League (N),14649,102720,2685,105380,287549,36.65 %
85,Swabi-II,NA-13,Maulana Atta-ul-Haq,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,12359,102720,2685,105380,287549,36.65 %
86,Swabi-II,NA-13,Muhammad Asad,Independent,7833,102720,2685,105380,287549,36.65 %
87,Swabi-II,NA-13,Muhammad Naeem,Pakistan Peoples Party Parliamentarians,19418,102720,2685,105380,287549,36.65 %
88,Swabi-II,NA-13,Perviz Khan Advocate,Awami National Party,26603,102720,2685,105380,287549,36.65 %
89,Kohat,NA-14,Abdul Rauf Advocate,Pakistan Peoples Party Parliamentarians,8421,98618,3029,101567,357556,28.41 %
90,Kohat,NA-14,Javaid Ibrahim Paracha,Pakistan Muslim League (N),1292,98618,3029,101567,357556,28.41 %
91,Kohat,NA-14,Malak Mohammad Asad Khan,Independent,23030,98618,3029,101567,357556,28.41 %
92,Kohat,NA-14,Molana Abdul Hai,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,10573,98618,3029,101567,357556,28.41 %
93,Kohat,NA-14,Pir Dilawar Shah,Awami National Party,30681,98618,3029,101567,357556,28.41 %
94,Kohat,NA-14,Pir Hafiz Khurshid Ali Khan,Independent,215,98618,3029,101567,357556,28.41 %
95,Kohat,NA-14,Qari Ubaidullah Haidri,Independent,6774,98618,3029,101567,357556,28.41 %
96,Kohat,NA-14,Shahid Khan Advocate,Muttahida Qaumi Movement Pakistan,166,98618,3029,101567,357556,28.41 %
97,Kohat,NA-14,Syed Iftikhar Hussain Gilani,Independent,17466,98618,3029,101567,357556,28.41 %
98,Karak,NA-15,Gul Taz Ali Khattak,Independent,72,110588,2636,113127,291693,38.78 %
99,Karak,NA-15,Mufti Ajmal Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,28665,110588,2636,113127,291693,38.78 %
100,Karak,NA-15,Muhammad Ayub Khan Khattak,Pakistan Muslim League,21497,110588,2636,113127,291693,38.78 %
101,Karak,NA-15,Nawabzada Mohsin Ali Khan,Independent,21002,110588,2636,113127,291693,38.78 %
102,Karak,NA-15,Shahinshah Khuddar,Muttahida Qaumi Movement Pakistan,178,110588,2636,113127,291693,38.78 %
103,Karak,NA-15,Shams ur Rehman Khattak,Pakistan Muslim League (N),22053,110588,2636,113127,291693,38.78 %
104,Karak,NA-15,Sher Nawaz Khattak,Awami National Party,14808,110588,2636,113127,291693,38.78 %
105,Karak,NA-15,Sher Qanoos Advocate,Pakistan Peoples Party Parliamentarians,2313,110588,2636,113127,291693,38.78 %
106,Hangu,NA-16,Abdul Wakeel,Independent,224,58476,1212,59688,187636,31.8 %
107,Hangu,NA-16,Azmat Ali Khan Bangash,Independent,155,58476,1212,59688,187636,31.8 %
108,Hangu,NA-16,Doctor Syed Ghazi Gulab Jamal,Independent,16404,58476,1212,59688,187636,31.8 %
109,Hangu,NA-16,Maulana Mian Hussain Jalali,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,19513,58476,1212,59688,187636,31.8 %
110,Hangu,NA-16,Syed Haider Ali Shah,Awami National Party,22180,58476,1212,59688,187636,31.8 %
111,Abbottabad-I,NA-17,Amanullah Khan Jandoon,Pakistan Muslim League,34947,134391,2681,134211,314337,42.72 %
112,Abbottabad-I,NA-17,Dr.Muhammad Azhar Khan Jadoon,Independent,36668,134391,2681,134211,314337,42.72 %
113,Abbottabad-I,NA-17,Ghulam Mustafa Sumsam Qureshi,Muttahida Qaumi Movement Pakistan,589,134391,2681,134211,314337,42.72 %
114,Abbottabad-I,NA-17,Professor Raja Aurangzeb Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1465,134391,2681,134211,314337,42.72 %
115,Abbottabad-I,NA-17,Sardar Mehtab Ahmed Khan,Pakistan Muslim League (N),58041,134391,2681,134211,314337,42.72 %
116,Abbottabad-II,NA-18,Choudry Faisal Zulfiqar Ali,Independent,18146,150979,3843,154603,347770,44.26 %
117,Abbottabad-II,NA-18,LT: Col: Abdul Ghaffar Javid,Independent,728,150979,3843,154603,347770,44.26 %
118,Abbottabad-II,NA-18,Mohammad Javid Abbasi,Independent,399,150979,3843,154603,347770,44.26 %
119,Abbottabad-II,NA-18,Murtaza Javid Abbasi,Pakistan Muslim League (N),72586,150979,3843,154603,347770,44.26 %
120,Abbottabad-II,NA-18,Nisar Ahmed Sultan Tanoli,Muttahida Qaumi Movement Pakistan,154,150979,3843,154603,347770,44.26 %
121,Abbottabad-II,NA-18,Qari Syed Abdul Rahim Shah,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,2373,150979,3843,154603,347770,44.26 %
122,Abbottabad-II,NA-18,Raja Khan,Independent,1566,150979,3843,154603,347770,44.26 %
123,Abbottabad-II,NA-18,Sakandar Azam,Independent,1217,150979,3843,154603,347770,44.26 %
124,Abbottabad-II,NA-18,Sardar Aurangzeb,Independent,335,150979,3843,154603,347770,44.26 %
125,Abbottabad-II,NA-18,Sardar Muhammad Riaz Khan,Independent,8209,150979,3843,154603,347770,44.26 %
126,Abbottabad-II,NA-18,Sardar Muhammad Yaqoob,Pakistan Muslim League,35480,150979,3843,154603,347770,44.26 %
127,Abbottabad-II,NA-18,Sardar Mushtaq Ahmed,Pakistan Peoples Party Parliamentarians,5992,150979,3843,154603,347770,44.26 %
128,Haripur,NA-19,Dr Riaz Baig,Independent,580,222498,5757,228105,484252,47.10 %
129,Haripur,NA-19,Raja Amir Zaman,Independent,71254,222498,5757,228105,484252,47.10 %
130,Haripur,NA-19,Sardar Muhammad Mushtaq,Pakistan Muslim League (N),98670,222498,5757,228105,484252,47.10 %
131,Haripur,NA-19,Syed Waqar Hussain Shah,Independent,1363,222498,5757,228105,484252,47.10 %
132,Haripur,NA-19,Umar Ayub Khan,Pakistan Muslim League,50631,222498,5757,228105,484252,47.10 %
133,Mansehra-I,NA-20,Ghayas-ud-din Khan,Pakistan Peoples Party Parliamentarians,8114,155114,3669,158783,437390,36.02 %
134,Mansehra-I,NA-20,Lt Gen(R) Salah-ud-Din Trimzi,Pakistan Muslim League (N),72526,155114,3669,158783,437390,36.02 %
135,Mansehra-I,NA-20,Naveed Akhter Khan,Muttahida Qaumi Movement Pakistan,830,155114,3669,158783,437390,36.02 %
136,Mansehra-I,NA-20,Sardar Shajehan Yousaf,Pakistan Muslim League,73644,155114,3669,158783,437390,36.02 %
137,Mansehra-II,NA-21,Amjad Salar Khan,Independent,555,0,0,0,424342,0 %
138,Mansehra-II,NA-21,Baram Khan,Independent,635,0,0,0,424342,0 %
139,Mansehra-II,NA-21,Laiq Muhammad Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,36629,0,0,0,424342,0 %
140,Mansehra-II,NA-21,Mluhammad Miskeen,Independent,251,0,0,0,424342,0 %
141,Mansehra-II,NA-21,Molana Rabnawaz Tahir,Independent,1977,0,0,0,424342,0 %
142,Mansehra-II,NA-21,Nawabzada Sala-ud-din Saeed,Pakistan Peoples Party Parliamentarians,28234,0,0,0,424342,0 %
143,Mansehra-II,NA-21,Niaz Muhammad Khan,Independent,3482,0,0,0,424342,0 %
144,Mansehra-II,NA-21,Professor Doctor Ali Asghar Shah,Independent,4500,0,0,0,424342,0 %
145,Mansehra-II,NA-21,Tahir Ali,Pakistan Muslim League (N),29911,0,0,0,424342,0 %
146,Mansehra-II,NA-21,Zar Gul Khan,Pakistan Muslim League,31774,0,0,0,424342,0 %
147,Battagram,NA-22,Ajmal Khan,Pakistan Peoples Party Parliamentarians,489,55043,1027,55566,151437,36.69 %
148,Battagram,NA-22,Ihsanullah Khan,Independent,5155,55043,1027,55566,151437,36.69 %
149,Battagram,NA-22,Imran Khan,Independent,1591,55043,1027,55566,151437,36.69 %
150,Battagram,NA-22,Muhammad Israr ul Haq Haqqani,Independent,575,55043,1027,55566,151437,36.69 %
151,Battagram,NA-22,Muhammad Nawaz Khan,Pakistan Muslim League,22316,55043,1027,55566,151437,36.69 %
152,Battagram,NA-22,Niaz Muhammad Khan,Pakistan Muslim League (N),4881,55043,1027,55566,151437,36.69 %
153,Battagram,NA-22,Qari Muhammad Yousaf,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,20036,55043,1027,55566,151437,36.69 %
154,Kohistan,NA-23,Abdul Sattar Khan,Independent,54,53086,3386,56472,317734,16.7 %
155,Kohistan,NA-23,Abdur Rehman,Independent,3960,53086,3386,56472,317734,16.7 %
156,Kohistan,NA-23,Didar Khan,Independent,78,53086,3386,56472,317734,16.7 %
157,Kohistan,NA-23,Haji Misar Khan,Pakistan Peoples Party Parliamentarians,13412,53086,3386,56472,317734,16.7 %
158,Kohistan,NA-23,Jehanzeb Khan,Pakistan Muslim League (N),6439,53086,3386,56472,317734,16.7 %
159,Kohistan,NA-23,Mehboobullah,Independent,14100,53086,3386,56472,317734,16.7 %
160,Kohistan,NA-23,Molvi Karimdad,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,5418,53086,3386,56472,317734,16.7 %
161,Kohistan,NA-23,Saranzaib Khan,Pakistan Muslim League,9625,53086,3386,56472,317734,16.7 %
162,D.I.Khan,NA-24,Abdul Aziz Khan,Pakistan Bachao Party,2744,138631,4287,142843,347165,41.14 %
163,D.I.Khan,NA-24,Ahmad Kundi,Independent,1964,138631,4287,142843,347165,41.14 %
164,D.I.Khan,NA-24,Al-Haaj Ikram Ullah Khan Gandapur,Independent,710,138631,4287,142843,347165,41.14 %
165,D.I.Khan,NA-24,Faisal Karim Kundi,Pakistan Peoples Party Parliamentarians,83560,138631,4287,142843,347165,41.14 %
166,D.I.Khan,NA-24,HizbUllah Gandapur,Pakistan Muslim League (N),2155,138631,4287,142843,347165,41.14 %
167,D.I.Khan,NA-24,Mati Ullah Baloch  Advocate,Independent,388,138631,4287,142843,347165,41.14 %
168,D.I.Khan,NA-24,Maulana Fazal ur Rehman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,45990,138631,4287,142843,347165,41.14 %
169,D.I.Khan,NA-24,Mohammad Zubair Anjum,Muttahida Qaumi Movement Pakistan,642,138631,4287,142843,347165,41.14 %
170,D.I.Khan,NA-24,Sardar Umar Farooaq Khan Mian Khel,Independent,478,138631,4287,142843,347165,41.14 %
171,D.I.Khan-com-Tank,NA-25,Abdur Rahim Khan Kundi,Independent,1607,132830,4613,137443,320178,43 %
172,D.I.Khan-com-Tank,NA-25,Al-Haj Sardar Umar Farooq Mian Khel,Independent,1069,132830,4613,137443,320178,43 %
173,D.I.Khan-com-Tank,NA-25,Atta ur Rehman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,44673,132830,4613,137443,320178,43 %
174,D.I.Khan-com-Tank,NA-25,Engr:Dawar Khan Kundi,Pakistan Peoples Party Parliamentarians,39450,132830,4613,137443,320178,43 %
175,D.I.Khan-com-Tank,NA-25,Fahimullah Gandapur,Independent,400,132830,4613,137443,320178,43 %
176,D.I.Khan-com-Tank,NA-25,Habibullah Khan Kundi,Pakistan Muslim League,42831,132830,4613,137443,320178,43 %
177,D.I.Khan-com-Tank,NA-25,Hizbullah Gandapur,Pakistan Muslim League (N),497,132830,4613,137443,320178,43 %
178,D.I.Khan-com-Tank,NA-25,Irfanullah Khan Kundi,Independent,324,132830,4613,137443,320178,43 %
179,D.I.Khan-com-Tank,NA-25,Nawabzada Mohammad Saifullah Khan,Independent,556,132830,4613,137443,320178,43 %
180,D.I.Khan-com-Tank,NA-25,Tariq Rahim Kundi,Independent,134,132830,4613,137443,320178,43 %
181,D.I.Khan-com-Tank,NA-25,Umar Amin Khan,Independent,1289,132830,4613,137443,320178,43 %
182,Bannu,NA-26,Abdul Hafeez,Independent,626,164463,2792,167114,384896,43.42 %
183,Bannu,NA-26,Lt: Col (R) Alhaj Inamullah Wazir,Independent,11588,164463,2792,167114,384896,43.42 %
184,Bannu,NA-26,Malik Nasir Khan,Independent,56546,164463,2792,167114,384896,43.42 %
185,Bannu,NA-26,Maulana Fazal Ur Rehman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,91484,164463,2792,167114,384896,43.42 %
186,Bannu,NA-26,Muhammad Mustafa Khan,Independent,3633,164463,2792,167114,384896,43.42 %
187,Bannu,NA-26,Muhammad Roshan Khan,Muttahida Qaumi Movement Pakistan,586,164463,2792,167114,384896,43.42 %
188,Lakki Marwat,NA-27,Doctor Muhammad Khalid Raza Pir Zakori Sharif,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,52315,123547,3874,126515,266658,47.44 %
189,Lakki Marwat,NA-27,Hamayun Saifullah Khan,Pakistan Muslim League,61303,123547,3874,126515,266658,47.44 %
190,Lakki Marwat,NA-27,Hamidullah Khan,Awami National Party,1597,123547,3874,126515,266658,47.44 %
191,Lakki Marwat,NA-27,Hidayatullah Khan,Independent,989,123547,3874,126515,266658,47.44 %
192,Lakki Marwat,NA-27,Imran Nawab,Independent,108,123547,3874,126515,266658,47.44 %
193,Lakki Marwat,NA-27,Khan Bahader Marwat,Independent,5949,123547,3874,126515,266658,47.44 %
194,Lakki Marwat,NA-27,Manzoor Ahmad,Independent,122,123547,3874,126515,266658,47.44 %
195,Lakki Marwat,NA-27,Maulana Hidayatullah,Independent,164,123547,3874,126515,266658,47.44 %
196,Lakki Marwat,NA-27,Munawar Khan,Independent,100,123547,3874,126515,266658,47.44 %
197,Lakki Marwat,NA-27,Nasir Muhammad Khan,Independent,697,123547,3874,126515,266658,47.44 %
198,Lakki Marwat,NA-27,Pir Zada Muhammad Raees Khan,Independent,75,123547,3874,126515,266658,47.44 %
199,Lakki Marwat,NA-27,Rooh ul Amin,Independent,69,123547,3874,126515,266658,47.44 %
200,Lakki Marwat,NA-27,Tariq Ahmad Khan,Independent,59,123547,3874,126515,266658,47.44 %
201,Buner,NA-28,Ali Sher Khan (Adv.),Pakistan Muslim League (N),743,77626,1805,79431,290460,27.346 %
202,Buner,NA-28,Bakht Jehan Khan,Independent,30116,77626,1805,79431,290460,27.346 %
203,Buner,NA-28,Fanoos Gujarr,Pakistan Freedom Party,5341,77626,1805,79431,290460,27.346 %
204,Buner,NA-28,Istiqbal Khan,Awami National Party,30903,77626,1805,79431,290460,27.346 %
205,Buner,NA-28,Molana Fazli Ghafoor,Pakistan Democratic Party,4701,77626,1805,79431,290460,27.346 %
206,Buner,NA-28,Molana Muhammad Hameed,Independent,195,77626,1805,79431,290460,27.346 %
207,Buner,NA-28,Nowshad Khan (Adv.),Independent,732,77626,1805,79431,290460,27.346 %
208,Buner,NA-28,Syed Amir Zeb,Awami National Party,152,77626,1805,79431,290460,27.346 %
209,Swat-I,NA-29,Main Gul Adnan Aurangzeb,Independent,17253,72795,2066,74737,412055,18.13 %
210,Swat-I,NA-29,Maryam Bibi,Muttahida Qaumi Movement Pakistan,345,72795,2066,74737,412055,18.13 %
211,Swat-I,NA-29,Maulana Sadiq Ahmad,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,8592,72795,2066,74737,412055,18.13 %
212,Swat-I,NA-29,Muzafer ul Mulk,Awami National Party,19860,72795,2066,74737,412055,18.13 %
213,Swat-I,NA-29,Riaz Ahmad Khan,Pakistan Muslim League (N),4575,72795,2066,74737,412055,18.13 %
214,Swat-I,NA-29,Rizwana Latif,Independent,212,72795,2066,74737,412055,18.13 %
215,Swat-I,NA-29,Salim Rehman,Pakistan Peoples Party Parliamentarians,12774,72795,2066,74737,412055,18.13 %
216,Swat-II,NA-30,Mohammad Ayub Khan Advocate,Awami National Party,3804,69314,2918,79986,404540,19.8 %
217,Swat-II,NA-30,Mohammad Hafizur Rehman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,7363,69314,2918,79986,404540,19.8 %
218,Swat-II,NA-30,Mohammad Riyaz,Pakistan Muslim League (N),3014,69314,2918,79986,404540,19.8 %
219,Swat-II,NA-30,Moulana Altafullah,Independent,1031,69314,2918,79986,404540,19.8 %
220,Swat-II,NA-30,Mufti Hussain Ahmad,Independent,1639,69314,2918,79986,404540,19.8 %
221,Swat-II,NA-30,Shakirullah,Independent,490,69314,2918,79986,404540,19.8 %
222,Swat-II,NA-30,Sher Bahader,Independent,7894,69314,2918,79986,404540,19.8 %
223,Swat-II,NA-30,Shujaat Ali Khan,Pakistan Muslim League,16337,69314,2918,79986,404540,19.8 %
224,Swat-II,NA-30,Syed Allauddin,Pakistan Peoples Party Parliamentarians,24063,69314,2918,79986,404540,19.8 %
225,Shangla,NA-31,Dr.Afsar ul Mulk Khan,Pakistan Peoples Party Parliamentarians,12999,67319,2867,68650,263581,26.04 %
226,Shangla,NA-31,Eng: Amir Muqam,Pakistan Muslim League,26928,67319,2867,68650,263581,26.04 %
227,Shangla,NA-31,Muhammad Saleem,Independent,193,67319,2867,68650,263581,26.04 %
228,Shangla,NA-31,Rahat Hussain,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,6477,67319,2867,68650,263581,26.04 %
229,Shangla,NA-31,Sadeed ur Rehman,Awami National Party,15740,67319,2867,68650,263581,26.04 %
230,Shangla,NA-31,Safeer Khan,Independent,1171,67319,2867,68650,263581,26.04 %
231,Chitral,NA-32,Molvi Muhammad Jehangir Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,2759,86368,3208,89449,197022,45.40 %
232,Chitral,NA-32,Nadir Khawaja,Independent,695,86368,3208,89449,197022,45.40 %
233,Chitral,NA-32,Sardar Muhammad  Khan,Independent,31120,86368,3208,89449,197022,45.40 %
234,Chitral,NA-32,Shahzada Ghulam Muhyuddin,Pakistan Peoples Party Parliamentarians,18516,86368,3208,89449,197022,45.40 %
235,Chitral,NA-32,Shahzada Muhyuddin,Pakistan Muslim League,33278,86368,3208,89449,197022,45.40 %
